Region,Date,Cumulative  Test positive,Expired,Discharged
ICT,2/26/2020,0,0,0
Punjab,2/26/2020,0,0,0
Sindh,2/26/2020,0,0,0
KP,2/26/2020,0,0,0
Balochistan,2/26/2020,0,0,0
AJK,2/26/2020,0,0,0
GB,2/26/2020,0,0,0
ICT,2/27/2020,0,0,0
Punjab,2/27/2020,0,0,0
Sindh,2/27/2020,0,0,0
KP,2/27/2020,0,0,0
Balochistan,2/27/2020,0,0,0
AJK,2/27/2020,0,0,0
GB,2/27/2020,0,0,0
ICT,2/28/2020,0,0,0
Punjab,2/28/2020,0,0,0
Sindh,2/28/2020,0,0,0
KP,2/28/2020,0,0,0
Balochistan,2/28/2020,0,0,0
AJK,2/28/2020,0,0,0
GB,2/28/2020,0,0,0
ICT,2/29/2020,0,0,0
Punjab,2/29/2020,0,0,0
Sindh,2/29/2020,0,0,0
KP,2/29/2020,0,0,0
Balochistan,2/29/2020,0,0,0
AJK,2/29/2020,0,0,0
GB,2/29/2020,0,0,0
ICT,3/1/2020,0,0,0
Punjab,3/1/2020,0,0,0
Sindh,3/1/2020,1,0,0
KP,3/1/2020,0,0,0
Balochistan,3/1/2020,0,0,0
AJK,3/1/2020,0,0,0
GB,3/1/2020,1,0,0
ICT,3/2/2020,0,0,0
Punjab,3/2/2020,0,0,0
Sindh,3/2/2020,1,0,0
KP,3/2/2020,0,0,0
Balochistan,3/2/2020,0,0,0
AJK,3/2/2020,0,0,0
GB,3/2/2020,1,0,0
ICT,3/3/2020,0,0,0
Punjab,3/3/2020,0,0,0
Sindh,3/3/2020,1,0,0
KP,3/3/2020,0,0,0
Balochistan,3/3/2020,0,0,0
AJK,3/3/2020,0,0,0
GB,3/3/2020,1,0,0
ICT,3/4/2020,0,0,0
Punjab,3/4/2020,0,0,0
Sindh,3/4/2020,1,0,0
KP,3/4/2020,0,0,0
Balochistan,3/4/2020,0,0,0
AJK,3/4/2020,0,0,0
GB,3/4/2020,1,0,0
ICT,3/5/2020,0,0,0
Punjab,3/5/2020,0,0,0
Sindh,3/5/2020,1,0,0
KP,3/5/2020,0,0,0
Balochistan,3/5/2020,0,0,0
AJK,3/5/2020,0,0,0
GB,3/5/2020,1,0,0
ICT,3/6/2020,0,0,0
Punjab,3/6/2020,0,0,0
Sindh,3/6/2020,4,0,0
KP,3/6/2020,0,0,0
Balochistan,3/6/2020,0,0,0
AJK,3/6/2020,0,0,0
GB,3/6/2020,2,0,0
ICT,3/7/2020,0,0,0
Punjab,3/7/2020,0,0,0
Sindh,3/7/2020,4,0,0
KP,3/7/2020,0,0,0
Balochistan,3/7/2020,0,0,0
AJK,3/7/2020,0,0,0
GB,3/7/2020,2,0,0
ICT,3/8/2020,0,0,0
Punjab,3/8/2020,0,0,0
Sindh,3/8/2020,6,0,1
KP,3/8/2020,0,0,0
Balochistan,3/8/2020,0,0,0
AJK,3/8/2020,0,0,0
GB,3/8/2020,2,0,0
ICT,3/9/2020,1,0,0
Punjab,3/9/2020,0,0,0
Sindh,3/9/2020,7,0,1
KP,3/9/2020,0,0,0
Balochistan,3/9/2020,0,0,0
AJK,3/9/2020,0,0,0
GB,3/9/2020,2,0,0
ICT,3/10/2020,2,0,0
Punjab,3/10/2020,0,0,0
Sindh,3/10/2020,14,0,1
KP,3/10/2020,0,0,0
Balochistan,3/10/2020,1,0,0
AJK,3/10/2020,0,0,0
GB,3/10/2020,2,0,0
ICT,3/11/2020,2,0,0
Punjab,3/11/2020,0,0,0
Sindh,3/11/2020,14,0,2
KP,3/11/2020,0,0,0
Balochistan,3/11/2020,1,0,0
AJK,3/11/2020,0,0,0
GB,3/11/2020,3,0,0
ICT,3/12/2020,2,0,0
Punjab,3/12/2020,0,0,0
Sindh,3/12/2020,15,0,2
KP,3/12/2020,0,0,0
Balochistan,3/12/2020,1,0,0
AJK,3/12/2020,0,0,0
GB,3/12/2020,3,0,0
ICT,3/13/2020,3,0,0
Punjab,3/13/2020,0,0,0
Sindh,3/13/2020,16,0,3
KP,3/13/2020,0,0,0
Balochistan,3/13/2020,6,0,0
AJK,3/13/2020,0,0,0
GB,3/13/2020,3,0,0
ICT,3/14/2020,4,0,0
Punjab,3/14/2020,0,0,0
Sindh,3/14/2020,18,0,3
KP,3/14/2020,0,0,0
Balochistan,3/14/2020,6,0,0
AJK,3/14/2020,0,0,0
GB,3/14/2020,3,0,0
ICT,3/15/2020,4,0,0
Punjab,3/15/2020,1,0,0
Sindh,3/15/2020,34,0,3
KP,3/15/2020,0,0,0
Balochistan,3/15/2020,5,0,0
AJK,3/15/2020,0,0,0
GB,3/15/2020,3,0,0
Mobile Lab,3/15/2020,6,0,0
ICT,3/16/2020,4,0,1
Punjab,3/16/2020,1,0,0
Sindh,3/16/2020,150,0,3
KP,3/16/2020,15,0,0
Balochistan,3/16/2020,14,0,0
AJK,3/16/2020,0,0,0
GB,3/16/2020,3,0,0
ICT,3/17/2020,8,0,1
Punjab,3/17/2020,26,0,0
Sindh,3/17/2020,172,0,3
KP,3/17/2020,17,0,0
Balochistan,3/17/2020,15,0,0
AJK,3/17/2020,0,0,0
GB,3/17/2020,3,0,0
ICT,3/18/2020,5,0,2
Punjab,3/18/2020,33,0,0
Sindh,3/18/2020,208,0,3
KP,3/18/2020,19,2,0
Balochistan,3/18/2020,23,0,0
AJK,3/18/2020,1,0,0
GB,3/18/2020,13,0,0
ICT,3/19/2020,10,0,2
Punjab,3/19/2020,80,0,0
Sindh,3/19/2020,245,0,3
KP,3/19/2020,23,2,0
Balochistan,3/19/2020,81,0,0
AJK,3/19/2020,1,0,0
GB,3/19/2020,21,0,0
ICT,3/20/2020,11,0,2
Punjab,3/20/2020,96,0,0
Sindh,3/20/2020,253,1,3
KP,3/20/2020,23,2,0
Balochistan,3/20/2020,81,0,0
AJK,3/20/2020,1,0,0
GB,3/20/2020,30,0,0
ICT,3/21/2020,11,0,2
Punjab,3/21/2020,152,0,0
Sindh,3/21/2020,396,1,3
KP,3/21/2020,31,2,0
Balochistan,3/21/2020,104,0,0
AJK,3/21/2020,1,0,0
GB,3/21/2020,55,0,0
ICT,3/22/2020,15,0,2
Punjab,3/22/2020,225,0,0
Sindh,3/22/2020,333,1,4
KP,3/22/2020,31,3,0
Balochistan,3/22/2020,108,1,0
AJK,3/22/2020,1,0,0
GB,3/22/2020,71,0,0
ICT,3/23/2020,15,0,2
Punjab,3/23/2020,249,0,0
Sindh,3/23/2020,394,1,4
KP,3/23/2020,38,3,0
Balochistan,3/23/2020,110,1,0
AJK,3/23/2020,1,0,0
GB,3/23/2020,80,1,0
ICT,3/24/2020,18,0,2
Punjab,3/24/2020,296,1,2
Sindh,3/24/2020,407,1,14
KP,3/24/2020,78,3,0
Balochistan,3/24/2020,110,1,0
AJK,3/24/2020,1,0,0
GB,3/24/2020,81,1,0
ICT,3/25/2020,25,0,2
Punjab,3/25/2020,323,2,3
Sindh,3/25/2020,413,1,14
KP,3/25/2020,80,3,2
Balochistan,3/25/2020,131,1,0
AJK,3/25/2020,1,0,0
GB,3/25/2020,84,1,0
ICT,3/26/2020,25,0,2
Punjab,3/26/2020,408,3,3
Sindh,3/26/2020,417,1,14
KP,3/26/2020,123,3,2
Balochistan,3/26/2020,131,1,0
AJK,3/26/2020,2,0,0
GB,3/26/2020,91,1,2
ICT,3/27/2020,39,0,2
Punjab,3/27/2020,490,5,4
Sindh,3/27/2020,457,1,14
KP,3/27/2020,180,3,2
Balochistan,3/27/2020,133,1,2
AJK,3/27/2020,2,0,0
GB,3/27/2020,107,1,3
ICT,3/28/2020,43,0,2
Punjab,3/28/2020,558,5,4
Sindh,3/28/2020,481,2,14
KP,3/28/2020,188,4,2
Balochistan,3/28/2020,138,1,2
AJK,3/28/2020,2,0,0
GB,3/28/2020,116,1,4
ICT,3/29/2020,51,0,3
Punjab,3/29/2020,593,6,5
Sindh,3/29/2020,508,5,16
KP,3/29/2020,195,5,2
Balochistan,3/29/2020,144,1,2
AJK,3/29/2020,6,0,0
GB,3/29/2020,128,1,4
ICT,3/30/2020,58,0,3
Punjab,3/30/2020,652,9,5
Sindh,3/30/2020,627,7,42
KP,3/30/2020,221,6,2
Balochistan,3/30/2020,153,1,2
AJK,3/30/2020,6,0,0
GB,3/30/2020,148,2,4
ICT,3/31/2020,54,0,3
Punjab,3/31/2020,708,9,5
Sindh,3/31/2020,676,8,51
KP,3/31/2020,253,6,2
Balochistan,3/31/2020,158,1,17
AJK,3/31/2020,6,0,0
GB,3/31/2020,184,2,4
ICT,4/1/2020,62,0,3
Punjab,4/1/2020,845,11,6
Sindh,4/1/2020,743,9,58
KP,4/1/2020,276,8,19
Balochistan,4/1/2020,169,1,17
AJK,4/1/2020,9,0,0
GB,4/1/2020,187,2,4
ICT,4/2/2020,68,0,3
Punjab,4/2/2020,920,11,6
Sindh,4/2/2020,783,11,65
KP,4/2/2020,311,9,30
Balochistan,4/2/2020,169,1,17
AJK,4/2/2020,9,0,0
GB,4/2/2020,190,3,5
AJK,4/3/2020,11,0,0
Balochistan,4/3/2020,175,1,17
GB,4/3/2020,193,3,9
ICT,4/3/2020,75,0,3
KP,4/3/2020,343,11,30
Punjab,4/3/2020,1072,11,6
Sindh,4/3/2020,839,14,65
AJK,4/4/2020,12,0,1
Balochistan,4/4/2020,185,1,17
GB,4/4/2020,206,3,9
ICT,4/4/2020,78,0,3
KP,4/4/2020,372,14,30
Punjab,4/4/2020,1163,12,25
Sindh,4/4/2020,864,15,85
AJK,4/5/2020,15,0,1
Balochistan,4/5/2020,191,1,30
GB,4/5/2020,210,3,13
ICT,4/5/2020,82,0,3
KP,4/5/2020,405,16,62
Punjab,4/5/2020,1493,15,25
Sindh,4/5/2020,881,15,123
AJK,4/6/2020,18,0,1
Balochistan,4/6/2020,202,1,63
GB,4/6/2020,211,3,15
ICT,4/6/2020,83,1,3
KP,4/6/2020,500,17,69
Punjab,4/6/2020,1918,15,25
